#A       sigma2  tau     lambda    accum
6.41847 7.31845 33.3903 0.0853622 0 
6.41847 7.33076 34.2329 0.0844385 0 
6.41847 7.2749 39.1197 0.0857256 0 
6.41847 7.3001 38.9622 0.087194 0 
6.41847 7.30727 40.9299 0.0885266 0 
6.41847 7.33286 36.3864 0.0879471 0 
6.41847 7.27834 44.0942 0.0919709 0 
6.41847 7.33898 42.0061 0.0913574 0 
6.41847 7.37216 43.9617 0.0933635 0 
6.41847 7.39729 36.9063 0.0878816 0 
6.41847 7.45823 34.1266 0.0859827 0 
6.41847 7.42512 42.5428 0.0904457 0 
6.41847 7.47213 46.4769 0.0917544 0 
6.41847 7.56503 40.627 0.0920324 0 
6.41847 7.70085 40.4773 0.0939023 0 
6.41847 7.72008 36.2278 0.0876507 0 
6.41847 7.90666 33.3007 0.0850716 0 
6.41847 7.93474 46.4456 0.0946015 0 
6.41847 8.19658 56.6889 0.0996666 0 
6.41847 8.44653 37.4008 0.0931519 0 
6.41847 9.03568 34.0761 0.0938684 0 
6.41847 9.12595 37.531 0.0910197 0 
6.41847 10.0565 36.2134 0.0896497 0 
6.41847 10.5337 50.7507 0.105783 0 
6.41847 12.291 29.8859 0.0924777 0 
6.41847 16.3828 24.1825 0.08929 0 
6.41847 13.6707 40.797 0.0970584 0 
6.41847 18.3866 45.264 0.0987439 0 
6.41847 13.447 26.7804 0.0830988 0 
6.41847 18.8164 27.8318 0.0912844 0 
6.41847 15.4516 29.54 0.0908696 0 
6.41847 16.6311 32.9512 0.0875533 0 
6.41847 20.1971 34.7333 0.0853001 0 
6.41847 17.3517 45.8894 0.102385 0 
6.41847 14.2486 29.8883 0.0871419 0 
6.41847 14.1002 39.9605 0.0898172 0 
6.41847 13.5094 48.5316 0.089301 0 
6.41847 16.392 28.8134 0.0808672 0 
6.41847 15.6149 31.0952 0.0843371 0 
6.41847 16.7005 40.1689 0.0872014 0 
6.41847 18.2727 48.5249 0.0872312 0 
6.41847 15.8118 46.8431 0.092417 0 
6.41847 15.9121 62.7605 0.0971338 0 
6.41847 14.4438 58.2892 0.0920851 0 
6.41847 14.9348 48.883 0.0909045 0 
6.41847 17.9216 51.4377 0.0904153 0 
6.41847 14.8941 42.3202 0.0899659 0 
6.41847 13.9503 53.4005 0.0953656 0 
6.41847 15.9161 42.8202 0.0890961 0 
6.41847 16.1677 39.8471 0.0900386 0 
6.41847 15.2251 46.2596 0.0906863 0 
6.41847 14.8831 41.0085 0.0875494 0 
6.41847 15.5689 45.2338 0.0911451 0 
6.41847 16.299 47.4179 0.0906363 0 
6.41847 15.2221 43.4888 0.0901325 0 
6.41847 14.7986 47.3359 0.0922699 0 
6.41847 15.6212 43.8662 0.0898669 0 
6.41847 15.7203 42.2864 0.0900717 0 
6.41847 15.3459 45.1978 0.0905318 0 
6.41847 15.2242 43.1593 0.0892295 0 
6.41847 15.3089 43.6599 0.0897001 0 
6.41847 15.6315 44.9987 0.0899305 0 
6.41847 15.3224 43.8567 0.0900819 0 
6.41847 15.4871 42.4751 0.0892437 0 
6.41847 15.381 44.4848 0.0902059 0 
6.41847 15.0637 44.1299 0.0901243 0 
6.41847 15.478 43.9318 0.0899311 0 
6.41847 15.4791 44.5273 0.090449 0 
6.41847 15.3511 43.8736 0.0898861 0 
6.41847 15.4847 44.3359 0.0899332 0 
6.41847 15.4438 44.2151 0.0899703 0 
6.41847 15.4675 43.5381 0.0896542 0 
6.41847 15.4025 44.2443 0.0900673 0 
6.41847 15.5327 44.3894 0.0900933 0 
6.41847 15.3961 44.0014 0.0899378 0 
6.41847 15.4071 43.9035 0.0899871 0 
6.41847 15.3888 43.7493 0.0899955 0 
6.41847 15.4071 43.9035 0.0899871 1 
6.41847 15.4071 43.9035 0.0899871 1 
6.45437 15.4071 43.9038 0.0899871 1 
6.45437 15.4071 43.9038 0.0899871 1 
6.59793 15.4071 43.9051 0.0899871 1 
6.59793 15.4071 43.9051 0.0899871 1 
7.17219 15.4071 43.9104 0.0899871 1 
7.17219 15.4071 43.9104 0.0899871 1 
8.21304 15.4071 43.9199 0.0899871 1 
8.21304 15.4071 43.9199 0.0899871 1 
6.45437 15.4071 43.9038 0.0899871 1 
6.45437 15.4071 43.9038 0.0899871 1 
6.49026 15.4071 43.9041 0.0899871 1 
6.49026 15.4071 43.9041 0.0899871 1 
6.56204 15.4071 43.9048 0.0899871 1 
6.56204 15.4071 43.9048 0.0899871 1 
6.7056 15.4071 43.9061 0.0899871 1 
6.7056 15.4071 43.9061 0.0899871 1 
6.99274 15.4071 43.9087 0.0899871 1 
6.99274 15.4071 43.9087 0.0899871 1 
7.567 15.4071 43.914 0.0899871 1 
7.567 15.4071 43.914 0.0899871 1 
8.71552 15.4071 43.9245 0.0899871 1 
8.71552 15.4071 43.9245 0.0899871 1 
11.0126 15.4071 43.9456 0.0899871 1 
11.0126 15.4071 43.9456 0.0899871 1 
21.2983 15.4071 44.0326 0.0899871 1 
21.2983 15.4071 44.0326 0.0899871 1 
32.3822 15.4071 44.1143 0.0899871 1 
32.3822 15.4071 44.1143 0.0899871 1 
32.5326 15.4071 44.1056 0.0899871 1 
32.5326 15.4071 44.1056 0.0899871 1 
32.6849 15.4071 44.0858 0.0899871 1 
32.6849 15.4071 44.0858 0.0899871 1 
33.2942 15.4071 44.0067 0.0899871 1 
33.2942 15.4071 44.0067 0.0899871 1 
34.1754 15.4071 43.7963 0.0899871 1 
34.1754 15.4071 43.7963 0.0899871 1 
35.1367 15.4071 43.3862 0.0899871 1 
35.1367 15.4071 43.3862 0.0899871 1 
35.9551 15.4071 42.6254 0.0899871 1 
35.9551 15.4071 42.6254 0.0899871 1 
35.754 15.4071 41.5662 0.0899871 1 
35.754 15.4071 41.5662 0.0899871 1 
34.4168 15.4071 41.0323 0.0899871 1 
34.4168 15.4071 41.0323 0.0899871 1 
33.3202 15.4071 40.984 0.0899871 1 
33.3202 15.4071 40.984 0.0899871 1 
33.0938 15.4071 41.0651 0.0899871 1 
33.0938 15.4071 41.0651 0.0899871 1 
33.0786 15.4071 41.0897 0.0899871 1 
33.0786 15.4071 41.0897 0.0899871 1 
33.0786 15.4071 41.0897 0.0899871 0 
